jurisdiction,pda,tpp,expansion,count,add_bldg,drop_bldg,dua_up,far_up,dua_down,far_down,subsidy,place_type,notes
01640,aca1,,,202,HM MR,,20,,,,,muc,
00562,ala1,b2,,2,HM MR,,75,,,,,ttc,
00562,ala1,b3,,1,HM MR,,75,,,,,ttc,
00562,ala1,brt2,,619,HM MR,,75,,,,,ttc,
00562,ala1,,,10,HM MR,,75,,,,,ttc,
00562,ala2,b2,,2,HM MR,,20,,,,,muc,
00001,ala2,brt2,,1,HM MR,,20,,,,,muc,
00562,ala2,brt2,,745,HM MR,,20,,,,,muc,
00562,ala2,,,1,HM MR,,20,,,,,muc,
00674,alb1,b1,,210,HM MR,,20,,,,,muc,
06000,alb1,b1,,1,HM MR,,20,,,,,muc,
00674,alb1,b2,,47,HM MR,,20,,,,,muc,
00674,alb1,bart2,,36,HM MR,,20,,,,,muc,
00001,alc1,bart3a,,897,HM MR,,50,,,,,tn,
00001,alc2,b1,,471,HM MR,,20,,,,,muc,
00001,alc2,b2,,185,HM MR,,20,,,,,muc,
33000,alc2,b2,,1,HM MR,,20,,,,,muc,
00001,alc2,b3,,412,HM MR,,20,,,,,muc,
00001,alc2,bart1,,474,HM MR,,20,,,,,muc,
68084,alc2,bart1,,2,HM MR,,20,,,,,muc,
00001,alc2,,,1356,HM MR,,20,,,,,muc,
33000,alc2,,,6,HM MR,,20,,,,,muc,
00001,alc3,b3,ubz,132,HM MR,,50,,,,,tn,
00001,alc3,b3,,1761,HM MR,,50,,,,,tn,
68084,alc3,b3,,1,HM MR,,50,,,,,tn,
00001,alc3,bart1,,1,HM MR,,50,,,,,tn,
00001,alc4,b2,,60,HM MR,,50,,,,,tn,
00001,alc4,b3,,244,HM MR,,50,,,,,tn,
33000,alc4,b3,,2,HM MR,,50,,,,,tn,
00001,alc4,bart2,,1,HM MR,,50,,,,,tn,
00001,alc4,,,204,HM MR,,50,,,,,tn,
02252,ant1,bart3a,,14,HM MR,,100,,,,,sc,
02252,ant1,,,31,HM MR,,100,,,,,sc,
02252,ant2,b3,,172,HM MR,,75,,,,,ttc,
00013,ant2,,ubz,1,HM MR,,75,,,,,ttc,
00013,ant2,,,4,HM MR,,75,,,,,ttc,
02252,ant2,,,947,HM MR,,75,,,,,ttc,
05108,bel1,brt2,,225,HM MR,,20,,,,,muc,
00095,ben1,,,5,HM MR,,50,,,,,tn,
05290,ben1,,,664,HM MR,,50,,,,,tn,
00095,ben2,,,1,,,30,2,,,,ec,
05290,ben2,,,659,HM MR,,30,2,,,,ec,
06000,ber1,bart2,,162,HM MR,,20,,,,,muc,
53000,ber1,bart2,,1,HM MR,,20,,,,,muc,
06000,ber2,bart2,,406,HM MR,,150,2.5,,,,cc,
06000,ber3,b1,,302,HM MR,,20,,,,,muc,
06000,ber3,b2,,32,HM MR,,20,,,,,muc,
06000,ber4,bart2,,26,HM MR,,20,,,,,muc,
06000,ber4,brt1,,16,HM MR,,20,,,,,muc,
06000,ber5,brt1,,96,HM MR,,20,,,,,muc,
06000,ber6,b1,,58,HM MR,,20,,,,,muc,
06000,ber6,bart2,,138,HM MR,,20,,,,,muc,
09066,bur1,b3,,741,HM MR,,75,,,,,ttc,
09066,bur1,bart3a,,74,HM MR,,75,,,,,ttc,
47486,bur1,bart3a,,1,HM MR,,75,,,,,ttc,
09066,bur1,brt2,,3419,HM MR,,75,,,,,ttc,
33798,bur1,brt2,,5,HM MR,,75,,,,,ttc,
09066,bur1,cr3,,13,HM MR,,75,,,,,ttc,
09066,bur1,cr4,,58,HM MR,,75,,,,,ttc,
10345,cam1,lrt3,,591,HM MR,,50,,,,,tn,
00013,ccc1,bart3a,,150,HM MR,,20,,,,,muc,
00013,ccc2,b3,,359,HM MR,,50,,,,,tn,
60620,ccc2,b3,,1,HM MR,,50,,,,,tn,
00013,ccc2,,,867,HM MR,,50,,,,,tn,
60620,ccc2,,,39,HM MR,,50,,,,,tn,
00013,ccc3_a,b2,,395,HM MR,,50,,,,,tn,
00013,ccc3_a,b3,,16,HM MR,,50,,,,,tn,
00013,ccc3_a,bart3a,,267,HM MR,,50,,,,,tn,
57456,ccc3_a,bart3a,,5,HM MR,,50,,,,,tn,
00013,ccc3_b,bart3a,,2,HM MR,,75,,,,,ttc,
57456,ccc3_b,bart3a,,10,HM MR,,75,,,,,ttc,
00013,ccc4,b3,,78,HM MR,,20,,,,,muc,
00013,ccc4,,,237,HM MR,,20,,,,,muc,
17918,ccg1_a,b1,,380,HM MR,,20,,,,,muc,
00081,ccg1_a,bart1,,5,HM MR,,20,,,,,muc,
17918,ccg1_a,bart1,,886,HM MR,,20,,,,,muc,
67000,ccg1_a,bart1,,7,HM MR,,20,,,,,muc,
00081,ccg1_a,bart2,ubz,23,HM MR,,20,,,,,muc,
17918,ccg1_a,bart2,,453,HM MR,,20,,,,,muc,
17918,ccg1_a,brt2,,1411,HM MR,,20,,,,,muc,
17918,ccg1_a,lrt2,,138,HM MR,,20,,,,,muc,
67000,ccg1_a,lrt2,,3,HM MR,,20,,,,,muc,
14736,ccg1_b,b1,,31,HM MR,,20,,,,,muc,
14736,ccg1_b,b2,,44,HM MR,,20,,,,,muc,
00081,ccg1_b,bart2,ubz,1,HM MR,,20,,,,,muc,
14736,ccg1_b,bart2,,241,HM MR,,20,,,,,muc,
73262,ccg1_b,brt2,,1,HM MR,,20,,,,,muc,
14736,ccg1_c,b2,,4,HM MR,,20,,,,,muc,
73262,ccg1_c,b2,,276,HM MR,,20,,,,,muc,
73262,ccg1_c,b3,,10,HM MR,,20,,,,,muc,
14736,ccg1_c,bart2,,64,HM MR,,20,,,,,muc,
65028,ccg1_c,bart2,,2,HM MR,,20,,,,,muc,
73262,ccg1_c,bart2,,1044,HM MR,,20,,,,,muc,
73262,ccg1_c,brt2,,1628,HM MR,,20,,,,,muc,
73262,ccg1_c,,,24,HM MR,,20,,,,,muc,
65028,ccg1_d,b3,,6,HM MR,,20,,,,,muc,
65028,ccg1_d,bart2,,2,HM MR,,20,,,,,muc,
47486,ccg1_d,brt2,,5,HM MR,,20,,,,,muc,
65028,ccg1_d,brt2,,1109,HM MR,,20,,,,,muc,
47486,ccg1_d,,,1,HM MR,,20,,,,,muc,
65028,ccg1_d,,,2,HM MR,,20,,,,,muc,
47486,ccg1_e,b3,,217,HM MR,,20,,,,,muc,
47486,ccg1_e,bart3a,,675,HM MR,,20,,,,,muc,
47486,ccg1_e,brt2,,600,HM MR,,20,,,,,muc,
68252,ccg1_f,b2,,516,HM MR,,20,,,,,muc,
68252,ccg1_f,b3,,122,HM MR,,20,,,,,muc,
68252,ccg1_f,brt2,,4671,HM MR,,20,,,,,muc,
68252,ccg1_f,cr3,,780,HM MR,,20,,,,,muc,
68252,ccg1_f,cr4,,10,HM MR,,20,,,,,muc,
65070,ccg1_h,b2,,912,HM MR,,20,,,,,muc,
65070,ccg1_h,b3,,202,HM MR,,20,,,,,muc,
00081,ccg1_h,brt2,ubz,4,HM MR,,20,,,,,muc,
65070,ccg1_h,brt2,,1155,HM MR,,20,,,,,muc,
60102,ccg1_i,b2,,428,HM MR,,20,,,,,muc,
00081,ccg1_i,b3,,6,HM MR,,20,,,,,muc,
60102,ccg1_i,b3,,555,HM MR,,20,,,,,muc,
60102,ccg1_i,brt2,,851,HM MR,,20,,,,,muc,
60102,ccg1_i,,,1,HM MR,,20,,,,,muc,
46870,ccg1_j,b2,,39,HM MR,,20,,,,,muc,
46870,ccg1_j,b3,,74,HM MR,,20,,,,,muc,
46870,ccg1_j,brt2,,1018,HM MR,,20,,,,,muc,
46870,ccg1_j,cr3,,31,HM MR,,20,,,,,muc,
46870,ccg1_j,cr4,,1,HM MR,,20,,,,,muc,
00081,ccg1_k,bart2,ubz,51,HM MR,,20,,,,,muc,
00081,ccg1_k,bart2,,16,HM MR,,20,,,,,muc,
00081,ccg1_l,b3,,16,HM MR,,20,,,,,muc,
00081,ccg1_l,brt2,,71,HM MR,,20,,,,,muc,
00081,ccg1_l,,,2156,HM MR,,20,,,,,muc,
03092,ccg1_l,,,1,HM MR,,20,,,,,muc,
60102,ccg1_l,,,8,HM MR,,20,,,,,muc,
00081,ccg1_m,b2,ubz,8,HM MR,,20,,,,,muc,
65028,ccg1_m,b3,,1,HM MR,,20,,,,,muc,
65028,ccg1_m,bart2,,1,HM MR,,20,,,,,muc,
00081,ccg1_m,brt2,ubz,50,HM MR,,20,,,,,muc,
00081,ccg1_m,brt2,,1,HM MR,,20,,,,,muc,
05108,ccg1_m,brt2,,1,HM MR,,20,,,,,muc,
73262,ccg1_m,brt2,,29,HM MR,,20,,,,,muc,
00097,clo1,,ubz,9,HM MR,,75,,,,,ttc,
14190,clo1,,,822,HM MR,,75,,,,,ttc,
16000,con1_a,bart3a,,3,HM MR,,100,,,,,sc,
16000,con1_a,,,17,HM MR,,100,,,,,sc,
16000,con1_b,,,14,HM MR,,50,,,,,tn,
