jurisdiction,pda_id,tpp_id,exp_id,count,add_bldg,drop_bldg,dua_up,far_up,dua_down,far_down,subsidy,place_type,notes
00085,sjo6,b1,ubz,3,,,,,,,,,
53000,eme1,b1,,16,HM MR,,20,1,,,,A,
53000,okd1,b1,,2622,HM MR,,20,1,,,,A,
53000,okd2,b1,,27,HM MR,,20,1,,,,A,
53000,okd3,b1,,66,HM MR,,20,1,,,,A,
53000,okd4,b1,,224,HM MR,,20,1,,,,A,
53000,okd5,b1,,989,HM MR,,20,1,,,,A,
53000,okd6,b1,,397,HM MR,,20,1,,,,A,
53000,okd7,b1,,804,HM MR,,20,1,,,,A,
53000,,b1,,3041,HM MR,,20,1,,,,A,
67000,sfo1,b1,,1247,HM MR,,20,1,,,,A,
67000,sfo12,b1,,684,HM MR,,20,1,,,,A,
67000,sfo3,b1,,56,HM MR,,20,1,,,,A,
67000,sfo4,b1,,2795,HM MR,,20,1,,,,A,
67000,,b1,,25921,HM MR,,20,1,,,,A,
68000,sjo11,b1,,89,HM MR,,20,1,,,,A,
68000,sjo4,b1,,779,HM MR,,20,1,,,,A,
68000,sjo6,b1,,392,HM MR,,20,1,,,,A,
68000,sjo8,b1,,27,HM MR,,250,7,,,,A,
68000,vta1_i,b1,,1725,HM MR,,250,7,,,,A,
68000,,b1,,9554,HM MR,,20,1,,,,A,
00562,,b1,,69,HM MR,,10,,,,,B,
00674,alb1,b1,,210,HM MR,,10,,,,,B,
00674,,b1,,2634,HM MR,,10,,,,,B,
06000,alb1,b1,,1,HM MR,,15,,,,,BB,
06000,ber3,b1,,302,HM MR,,15,,,,,BB,
06000,ber6,b1,,58,HM MR,,15,,,,,BB,
06000,,b1,,5122,HM MR,,15,,,,,BB,
14736,ccg1_b,b1,,31,HM MR,,10,,,,,B,
14736,,b1,,41,HM MR,,10,,,,,B,
17918,ccg1_a,b1,,380,HM MR,,15,,,,,BB,
17918,,b1,,4110,HM MR,,15,,,,,BB,
21796,elc1_a,b1,,7,HM MR,,10,,,,,B,
21796,wcc1_c,b1,,1,HM MR,,10,,,,,B,
21796,,b1,,550,HM MR,,15,,,,,BB,
22594,eme1,b1,,563,HM MR,,15,,,,,BB,2
22594,okd6,b1,,15,HM MR,,15,,,,,BB,
