juris,tothh,hhincq1,hhincq2,hhincq3,hhincq4,sfdu,mfdu,totemp,agrempn,mwtempn,retempn,fpsempn,herempn,othempn,occupancy_rate,non_residential_sqft,sq_ft_per_employee
Livermore,28592.0,5616.0,6636.0,8383.0,7957.0,23841.0,5346.0,42617.0,148.0,6196.0,4318.0,12551.0,8905.0,10499.0,0.979614211807,34294974.0,804.725203557
Hayward,45072.0,13309.0,14596.0,11038.0,6129.0,27850.0,16963.0,60900.0,28.0,16064.0,5837.0,9214.0,14447.0,15310.0,1.00577957289,65748232.0,1079.60972085
Sonoma County,58257.0,17286.0,17403.0,13088.0,10480.0,56577.0,10842.0,51696.0,4537.0,10037.0,4524.0,7787.0,13856.0,10955.0,0.864103590976,36699289.0,709.905776076
Fremont,69964.0,12755.0,16433.0,19317.0,21459.0,48290.0,20741.0,86162.0,82.0,23500.0,7119.0,20268.0,20675.0,14518.0,1.01351566687,76310294.0,885.660662473
Pleasanton,24710.0,3502.0,4806.0,6266.0,10136.0,18120.0,6435.0,60070.0,121.0,7425.0,11374.0,17029.0,9966.0,14155.0,1.00631236001,36454983.0,606.875029133
Dublin,14897.0,1957.0,3169.0,4407.0,5364.0,11806.0,2190.0,18126.0,39.0,2010.0,3030.0,4015.0,3772.0,5260.0,1.06437553587,13744109.0,758.253834271
Contra Costa County,57781.0,13611.0,13901.0,13401.0,16868.0,49873.0,11487.0,35872.0,194.0,4686.0,3855.0,9742.0,9648.0,7747.0,0.941672099087,31218779.0,870.282643845
Brentwood,16817.0,3432.0,4710.0,4905.0,3770.0,16767.0,1230.0,11597.0,139.0,530.0,1828.0,2919.0,3628.0,2553.0,0.934433516697,7607261.0,655.968008968
San Ramon,24365.0,2331.0,3854.0,5836.0,12344.0,20605.0,5023.0,47898.0,395.0,3549.0,4006.0,11081.0,10152.0,18715.0,0.950717964726,24494815.0,511.395360975
Oakley,10608.0,1949.0,3249.0,3611.0,1799.0,10945.0,483.0,3328.0,20.0,182.0,736.0,808.0,977.0,605.0,0.928246412321,2163228.0,650.008413462
