pda,tothh,hhincq1,hhincq2,hhincq3,hhincq4,sfdu,mfdu,totemp,agrempn,mwtempn,retempn,fpsempn,herempn,othempn,occupancy_rate,non_residential_sqft,sq_ft_per_employee
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sfo1,10280.0,4387.0,2809.0,1916.0,1168.0,7566.0,3628.0,25366.0,59.0,4816.0,1004.0,10399.0,2532.0,6556.0,0.918349115598,30220301.0,1191.37037767
fre2,5785.0,1151.0,1664.0,1792.0,1178.0,1321.0,4110.0,15791.0,8.0,310.0,1347.0,4562.0,5566.0,3998.0,1.06518136623,7068893.0,447.653283516
liv1,576.0,135.0,146.0,150.0,145.0,133.0,316.0,4310.0,5.0,99.0,480.0,1305.0,1762.0,659.0,1.28285077951,2582962.0,599.29512761
her2,621.0,139.0,214.0,163.0,105.0,663.0,0.0,86.0,0.0,40.0,1.0,17.0,17.0,11.0,0.0,47224.0,549.11627907
fre1,8774.0,1792.0,2365.0,2299.0,2318.0,3932.0,4106.0,5213.0,13.0,628.0,691.0,1184.0,1786.0,911.0,1.09156506594,4186421.0,803.073278343
fre4,1220.0,212.0,295.0,302.0,411.0,1215.0,231.0,11788.0,17.0,4989.0,799.0,3021.0,1117.0,1845.0,0.843706777317,12356011.0,1048.18552766
ple1,1268.0,148.0,297.0,352.0,471.0,60.0,1268.0,12624.0,33.0,2117.0,2369.0,3994.0,1485.0,2626.0,0.954819277108,8784604.0,695.865335868
her1,83.0,10.0,25.0,30.0,18.0,2.0,88.0,1014.0,0.0,174.0,142.0,243.0,175.0,280.0,0.922222222222,524363.0,517.123274162
pit1,3523.0,1471.0,1082.0,691.0,279.0,2296.0,1484.0,3925.0,5.0,402.0,352.0,430.0,1371.0,1365.0,0.932010582011,3586160.0,913.67133758
fre3,7205.0,1751.0,2025.0,1971.0,1458.0,2836.0,4207.0,5217.0,21.0,686.0,559.0,1159.0,1601.0,1191.0,1.02300156183,3452911.0,661.857580985
sfo9_a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ric2,3177.0,1208.0,908.0,618.0,443.0,1682.0,1827.0,5576.0,9.0,1703.0,340.0,909.0,836.0,1779.0,0.9053861499,6966405.0,1249.3552726
sfo10,8001.0,2438.0,2360.0,1690.0,1513.0,4700.0,3938.0,7051.0,8.0,136.0,1708.0,776.0,3026.0,1397.0,0.926256077796,7427940.0,1053.45908382
ccc1,369.0,111.0,101.0,94.0,63.0,67.0,333.0,4153.0,6.0,176.0,388.0,1714.0,1129.0,740.0,0.9225,3009845.0,724.739947026
spa1,1634.0,803.0,504.0,243.0,84.0,147.0,1583.0,4469.0,2.0,227.0,410.0,457.0,2747.0,626.0,0.94450867052,2569447.0,574.948981875
wal1,4986.0,1529.0,1741.0,1246.0,470.0,698.0,4841.0,27314.0,22.0,1979.0,3601.0,11093.0,7124.0,3495.0,0.900162484203,13409404.0,490.935198067
pit2,1663.0,533.0,537.0,400.0,193.0,1255.0,625.0,657.0,2.0,142.0,37.0,74.0,182.0,220.0,0.884574468085,1015617.0,1545.84018265
sfo9_b,2361.0,705.0,702.0,581.0,373.0,2119.0,401.0,1864.0,3.0,72.0,58.0,610.0,420.0,701.0,0.936904761905,2771562.0,1486.88948498
sjo7,7827.0,3079.0,2500.0,1361.0,887.0,3079.0,5368.0,10024.0,28.0,786.0,1850.0,2221.0,3628.0,1511.0,0.926601160175,8014530.0,799.534118117
ccc2,1016.0,607.0,304.0,72.0,33.0,797.0,332.0,1789.0,20.0,555.0,268.0,316.0,146.0,484.0,0.899911426041,2153766.0,1203.89379542
pal1,516.0,132.0,120.0,91.0,173.0,52.0,516.0,3774.0,1.0,82.0,234.0,1115.0,1581.0,761.0,0.908450704225,2163825.0,573.350556439
sfo12,26797.0,6565.0,7473.0,6417.0,6342.0,12841.0,15513.0,14414.0,6.0,534.0,1836.0,2220.0,5936.0,3882.0,0.945087112929,9607641.0,666.549257666
hay1,415.0,146.0,136.0,93.0,40.0,276.0,47.0,786.0,0.0,35.0,73.0,101.0,227.0,350.0,1.28482972136,639584.0,813.720101781
sjo8,4805.0,1991.0,1567.0,875.0,372.0,2531.0,2514.0,4305.0,2.0,538.0,367.0,624.0,1506.0,1268.0,0.95242814668,3100669.0,720.248315912
wcc1_g,183.0,45.0,71.0,37.0,30.0,68.0,132.0,60.0,0.0,31.0,1.0,3.0,15.0,10.0,0.915,30716.0,511.933333333
oak1,366.0,70.0,111.0,122.0,63.0,125.0,256.0,894.0,12.0,59.0,260.0,169.0,234.0,160.0,0.96062992126,754353.0,843.795302013
sar2,21.0,0.0,4.0,5.0,12.0,0.0,27.0,12809.0,4.0,744.0,611.0,3487.0,1860.0,6103.0,0.0,6454994.0,503.942071981
okd1,42389.0,17638.0,13347.0,7201.0,4203.0,20400.0,23853.0,15123.0,90.0,1658.0,1273.0,2720.0,5920.0,3462.0,0.957878561905,13245753.0,875.86808173
sfo3,84342.0,36755.0,22053.0,12337.0,13197.0,2457.0,91805.0,243803.0,280.0,10645.0,15611.0,101301.0,69909.0,46057.0,0.894761409688,163622321.0,671.125133817
clo1,821.0,322.0,239.0,165.0,95.0,545.0,351.0,576.0,19.0,127.0,62.0,67.0,142.0,159.0,0.916294642857,457093.0,793.564236111
sfo8,664.0,124.0,155.0,155.0,230.0,144.0,642.0,1229.0,0.0,17.0,6.0,72.0,158.0,976.0,0.844783715013,664728.0,540.868999186
dan1,1351.0,179.0,238.0,293.0,641.0,730.0,670.0,6218.0,15.0,302.0,816.0,2016.0,1877.0,1192.0,0.965,3116069.0,501.136860727
aca1,408.0,164.0,134.0,79.0,31.0,178.0,185.0,1399.0,54.0,233.0,391.0,143.0,287.0,291.0,1.12396694215,1068125.0,763.491779843
fai2,210.0,40.0,64.0,56.0,50.0,64.0,1.0,141.0,0.0,39.0,7.0,17.0,40.0,38.0,3.23076923077,139691.0,990.716312057
sro3,2260.0,722.0,848.0,487.0,203.0,1664.0,745.0,2887.0,25.0,961.0,332.0,554.0,540.0,475.0,0.938148609381,2441322.0,845.625909248
con2,3986.0,1967.0,1370.0,478.0,171.0,331.0,3959.0,10078.0,8.0,825.0,990.0,3572.0,2487.0,2196.0,0.929137529138,6453103.0,640.315836475
okd8,8793.0,3758.0,2524.0,1522.0,989.0,4603.0,4158.0,7546.0,9.0,3065.0,434.0,729.0,2069.0,1240.0,1.00365255108,5147875.0,682.199178373
okd7,9598.0,5819.0,2572.0,814.0,393.0,3988.0,6281.0,9641.0,7.0,2035.0,726.0,1442.0,1994.0,3437.0,0.934657707664,13082316.0,1356.94595996
pin1,290.0,56.0,117.0,87.0,30.0,234.0,82.0,3068.0,2.0,802.0,222.0,532.0,1052.0,458.0,0.917721518987,1939216.0,632.078226858
sjo4,16969.0,7571.0,5092.0,2574.0,1732.0,6064.0,12270.0,23419.0,29.0,1353.0,1106.0,5076.0,4399.0,11456.0,0.925548161885,15306238.0,653.582048764
sfo6,391.0,136.0,96.0,58.0,101.0,87.0,328.0,14585.0,20.0,2167.0,830.0,4840.0,4264.0,2464.0,0.942168674699,15182741.0,1040.98327048
scl2,110.0,45.0,44.0,13.0,8.0,51.0,67.0,4130.0,11.0,1501.0,173.0,1020.0,714.0,711.0,0.932203389831,3013791.0,729.731476998
sfo4,35549.0,12460.0,9707.0,6556.0,6826.0,4656.0,34579.0,78228.0,58.0,5844.0,6936.0,14335.0,28806.0,22249.0,0.906053268765,68207254.0,871.903333845
sjo1,2742.0,1448.0,719.0,315.0,260.0,446.0,2831.0,27216.0,58.0,1063.0,765.0,11686.0,4248.0,9396.0,0.836740921575,18994901.0,697.931400647
oak3,203.0,52.0,62.0,59.0,30.0,219.0,0.0,142.0,0.0,4.0,9.0,44.0,53.0,32.0,0.926940639269,92502.0,651.422535211
plh2,860.0,238.0,241.0,244.0,137.0,125.0,764.0,5714.0,12.0,230.0,745.0,1967.0,1851.0,909.0,0.967379077615,3655111.0,639.67640882
vta1_c,921.0,283.0,260.0,237.0,141.0,301.0,669.0,2706.0,16.0,69.0,345.0,686.0,1029.0,561.0,0.949484536082,1400470.0,517.542498152
ben2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
okd1_b,6712.0,3357.0,2247.0,826.0,282.0,4778.0,2479.0,2108.0,3.0,227.0,339.0,157.0,777.0,605.0,0.924900096459,1772852.0,841.011385199
sro2,4468.0,1772.0,1522.0,785.0,389.0,2267.0,2501.0,14717.0,61.0,1614.0,1863.0,2033.0,5702.0,3444.0,0.937080536913,10246262.0,696.219474078
okd1_a,4799.0,2589.0,1440.0,507.0,263.0,1171.0,3773.0,9231.0,3.0,1082.0,684.0,962.0,4610.0,1890.0,0.970671521036,9097807.0,985.571119055
mvw2,4165.0,1037.0,1138.0,1015.0,975.0,1668.0,2847.0,6935.0,4.0,303.0,340.0,2487.0,2162.0,1639.0,0.922480620155,3246987.0,468.202883922
sjo3,9501.0,2425.0,2301.0,2436.0,2339.0,2552.0,7573.0,92321.0,233.0,44204.0,2150.0,20433.0,6673.0,18628.0,0.93837037037,61533268.0,666.514314186
sar1,190.0,19.0,30.0,50.0,91.0,203.0,0.0,12759.0,352.0,1677.0,1603.0,2634.0,1523.0,4970.0,0.0,7076332.0,554.614938475
okd5,11980.0,5940.0,3832.0,1447.0,761.0,5963.0,6851.0,9403.0,9.0,916.0,767.0,951.0,4635.0,2125.0,0.934914936788,9407175.0,1000.44400723
sjo6,4921.0,1650.0,1616.0,1105.0,550.0,1329.0,3834.0,4180.0,6.0,486.0,886.0,700.0,956.0,1146.0,0.953128026341,2755395.0,659.185406699
vta1_i,12704.0,3689.0,3482.0,3113.0,2420.0,7720.0,5656.0,22158.0,57.0,2167.0,3771.0,4916.0,6334.0,4913.0,0.94976076555,14466049.0,652.858967416
alc2,5600.0,2302.0,1931.0,939.0,428.0,2919.0,2736.0,2465.0,0.0,94.0,234.0,274.0,948.0,915.0,0.990274093722,1611978.0,653.946450304
okd6,10854.0,4510.0,3109.0,1903.0,1332.0,4790.0,6580.0,13393.0,12.0,472.0,844.0,1614.0,8723.0,1728.0,0.954617414248,12907650.0,963.760919884
sun2,1101.0,316.0,259.0,292.0,234.0,386.0,759.0,3649.0,5.0,738.0,502.0,832.0,901.0,671.0,0.961572052402,3540465.0,970.256234585
fai3,773.0,331.0,288.0,128.0,26.0,118.0,651.0,1238.0,0.0,55.0,203.0,192.0,569.0,219.0,1.00520156047,696806.0,562.848142165
