superdistrict,tothh,hhincq1,hhincq2,hhincq3,hhincq4,sfdu,mfdu,totemp,agrempn,mwtempn,retempn,fpsempn,herempn,othempn,occupancy_rate,non_residential_sqft,sq_ft_per_employee
33,42508,10951,10697,9038,11822,31095,14501,54761,421,3437,6380,12741,18121,13661,0.932274760944,34447017,629.04287723
9,96037,25546,24198,23870,22423,44556,57871,282375,593,110317,13960,72425,34019,51061,0.937614105656,211928879,750.522811864
17,123674,36644,39032,29517,18481,85468,39486,132228,148,37683,13531,18517,33028,29321,0.989756230293,132235785,1000.05887558
16,102712,19218,24519,29048,29927,72948,28146,124161,195,35464,12863,26532,29334,19773,1.01600490632,119304364,960.884367877
15,70336,11341,15007,19721,24267,55658,13961,126699,492,16741,18947,36328,22799,31392,1.01029891265,88998415,702.439758798
18,178165,71861,51083,29345,25876,96107,87199,197346,342,20120,11256,36948,61921,66759,0.971954000415,152886466,774.712768437
24,90702,22560,26588,25024,16530,81149,16318,51491,365,3797,9026,9832,17588,10883,0.930591892641,41263389,801.370899769
34,38318,6337,7697,6768,17516,27368,14180,39874,201,1788,5492,9745,16248,6400,0.922258592471,22195958,556.652405076
30,90256,26906,28045,20545,14760,70259,26024,106010,1657,16537,12260,18671,33252,23633,0.937403279914,71492769,674.396462598
32,22960,5148,6048,5503,6261,17535,6519,26518,98,1254,3019,10465,6805,4877,0.954518998919,15764742,594.492118561
27,34786,10153,10681,8340,5612,27840,9380,45641,901,8330,4655,7018,15209,9528,0.934605051048,37400057,819.439911483
10,118551,29379,26969,25211,36992,85007,39496,126422,302,18808,17997,27010,39314,22991,0.952193923038,73630553,582.418827419
1,76037,35011,19916,10196,10914,1732,84962,324840,375,16849,21291,142338,76958,67029,0.877073384548,218635022,673.05449452
3,118744,33669,32721,26204,26150,59590,66839,134123,167,11524,9153,25896,56132,31251,0.939214895317,123140545,918.116542278
6,81786,13446,17497,19304,31539,54515,31571,98811,641,9922,11513,36588,26123,14024,0.95004995005,58718965,594.255346065
31,32710,9938,10064,7188,5520,33692,5978,28727,2732,5240,2723,3518,7815,6699,0.824552558609,21223900,738.813659623
7,77141,13597,15892,16069,31583,58442,23076,132711,1577,27048,8895,35056,29642,30493,0.946306337251,82720020,623.309446843
19,73000,28382,19539,12199,12880,36807,36588,122773,68,11253,8146,32278,49614,21414,0.994618162,80074893,652.219079113
29,63936,17252,18613,16258,11813,50998,17542,67258,2230,11516,8226,13013,19127,13146,0.932827545959,48320779,718.439129918
12,105916,25274,25382,27065,28195,86382,24106,111277,289,24551,12768,19746,27551,26372,0.958619940627,76227427,685.024102016
23,51369,5220,7096,10974,28079,47407,6114,67755,467,4838,6382,17781,16168,22119,0.959791483717,41097104,606.554556859
22,58985,12336,13313,13019,20317,41954,20603,75102,167,4820,7582,24752,27758,10023,0.942900075131,46662031,621.315424356
2,102486,26413,26002,20853,29218,16765,93855,88150,112,2802,7672,12765,40440,24359,0.926468992949,56387200,639.673284175
5,97603,18583,24522,28164,26334,71682,31000,110664,290,26742,14140,20271,33221,16000,0.950536608169,82949244,749.559423119
14,33587,9141,8448,7713,8285,27426,8244,47638,2936,9965,6805,7956,11459,8517,0.94160358845,34433021,722.805764306
8,70554,18546,15351,12670,23987,44048,30720,152440,144,12175,9917,37752,75071,17381,0.943638989942,84004297,551.064661506
13,72176,15006,16427,18868,21875,57877,17213,54481,323,8027,8352,13171,15731,8877,0.961193234785,32053825,588.348690369
11,102321,36997,29738,20286,15300,58137,50656,133880,348,15147,10049,34490,32220,41626,0.940510878457,93599506,699.129862563
20,89360,28508,27577,20121,13154,66451,28865,62418,258,12020,8116,10720,18051,13253,0.937513114273,54293792,869.841904579
28,14497,3841,4059,2954,3643,14606,2946,24670,4101,6068,1607,2360,6061,4473,0.825945761167,16257681,659.006120794
21,85495,21684,23554,22046,18211,63591,26747,101955,204,11007,11196,22251,30049,27248,0.946390223383,66821142,655.398381639
4,49918,12906,12947,11363,12702,35192,17582,28175,21,977,4338,4970,11057,6812,0.945882442112,19932233,707.443939663
26,90048,22631,26859,25000,15558,72061,16006,85508,1798,12862,11685,9399,27012,22752,1.02249423734,60756405,710.534745287
25,52326,14075,15219,13156,9876,36071,16970,43971,153,6000,4906,6786,14333,11793,0.986519861994,30305574,689.217302313
