zone_id,SD,ZONE,COUNTY,AGREMPN,FPSEMPN,HEREMPN,RETEMPN,TOTEMP,MWTEMPN,OTHEMPN,HHINCQ1,HHINCQ2,HHINCQ3,HHINCQ4,SHPOP62P,TOTHH,GQPOP,MFDU,SFDU,CIACRE_UNWEIGHTED,RESACRE_UNWEIGHTED,CIACRE,RESACRE,TOTACRE,HHPOP,TOTPOP,EMPRES,AGE0004,AGE0519,AGE2044,AGE4564,AGE65P
1,1,1,1,9.0,15488.0,900.0,267.0,19679,805.0,2210.0,30.0,15.0,2.0,1.0,0.238,48.0,8,60.0,1.0,9.14991145662,2.54006108887,15.0,1.0,20.3,77,85,35,3.0,7.0,32.0,28.0,15.0
2,1,2,1,49.0,23841.0,2146.0,535.0,29952,810.0,2571.0,94.0,36.0,8.0,5.0,0.238,143.0,25,147.0,5.0,15.0639055692,3.84589397024,24.0,1.0,31.1,227,252,101,8.0,20.0,95.0,84.0,45.0
3,1,3,1,0.0,657.0,968.0,118.0,1930,34.0,153.0,157.0,79.0,21.0,10.0,0.238,267.0,46,285.0,9.0,7.30323636572,1.79219463656,2.0,1.0,14.7,425,471,191,16.0,37.0,177.0,158.0,83.0
4,1,4,1,116.0,9739.0,2142.0,497.0,15855,1584.0,1777.0,53.0,37.0,6.0,4.0,0.238,100.0,13,210.0,6.0,9.09633124488,2.92244595288,18.0,1.0,19.3,157,170,70,5.0,14.0,64.0,57.0,30.0
5,1,5,1,2.0,3463.0,5412.0,2625.0,12785,408.0,875.0,311.0,153.0,36.0,25.0,0.238,525.0,90,671.0,22.0,21.2856709717,10.921042807,15.0,1.00000000002,52.7,833,923,371,31.0,74.0,345.0,309.0,164.0
6,1,6,1,1.0,460.0,2176.0,163.0,3423,26.0,597.0,1080.0,783.0,248.0,124.0,0.142,2235.0,616,2406.0,0.0,7.529699093,12.5485206927,8.0,7.0,29.0,3290,3906,1810,75.0,220.0,2294.0,923.0,394.0
7,1,7,1,1.0,5784.0,5146.0,262.0,11704,95.0,416.0,2340.0,1062.0,256.0,90.0,0.191,3748.0,445,4174.0,0.0,13.7993203722,15.7452664395,14.0,13.0,45.0,5516,5961,3009,170.0,416.0,2681.0,1877.0,817.0
8,1,8,1,6.0,1280.0,1843.0,406.0,4145,47.0,563.0,3331.0,877.0,157.0,25.0,0.25,4390.0,2214,4808.0,19.0,11.2726769657,16.8523689235,15.0,8.0,51.0,7216,9430,3014,370.0,829.0,3039.0,3436.0,1756.0
9,1,9,1,0.0,3006.0,8506.0,124.0,23371,131.0,11604.0,3331.0,1284.0,366.0,60.0,0.163,5041.0,640,5416.0,35.0,41.986725501,22.1530991829,47.0,9.00000000003,112.0,8594,9234,3867,376.0,932.0,4440.0,2401.0,1085.0
10,1,10,1,0.0,1216.0,2581.0,138.0,8134,141.0,4058.0,979.0,539.0,204.0,93.0,0.148,1815.0,97,2501.0,5.0,25.18212225,16.1617480522,35.0,7.00000000002,73.5,3113,3210,1607,91.0,281.0,1406.0,1125.0,307.0
11,1,11,1,0.0,860.0,2266.0,2741.0,8286,176.0,2243.0,1480.0,692.0,341.0,147.0,0.148,2660.0,156,2780.0,10.0,33.068268295,14.2651163923,38.0,12.0,81.0,4561,4717,2361,134.0,413.0,2065.0,1654.0,451.0
12,1,12,1,12.0,2994.0,4871.0,642.0,12680,301.0,3860.0,136.0,154.0,31.0,46.0,0.09,367.0,9,984.0,0.0,28.6096281929,7.59070568848,16.0,1.0,53.3,551,560,365,4.0,7.0,333.0,190.0,26.0
13,1,13,1,0.0,9289.0,1486.0,974.0,12936,166.0,1021.0,1.0,2.0,2.0,2.0,0.09,7.0,9,8.0,0.0,12.4072703191,2.15097801455,19.0,1.0,26.5,11,20,13,0.0,0.0,12.0,7.0,1.0
14,1,14,1,9.0,13117.0,1342.0,271.0,21636,2977.0,3920.0,44.0,70.0,25.0,35.0,0.09,174.0,6,422.0,0.0,15.8193863289,2.17097505569,26.0,1.0,30.6,263,269,174,3.0,3.0,160.0,91.0,12.0
15,1,15,1,4.0,6617.0,1587.0,179.0,11339,588.0,2364.0,81.0,85.0,62.0,88.0,0.09,316.0,45,319.0,0.0,10.4022482661,4.90677927723,14.0,3.0,28.5,476,521,329,4.0,7.0,309.0,177.0,24.0
16,1,16,1,66.0,5353.0,4554.0,3829.0,17814,374.0,3638.0,367.0,341.0,318.0,465.0,0.076,1491.0,122,2377.0,15.0,38.5067290313,22.4332492939,72.0,6.00000000005,123.4,2443,2565,1741,54.0,69.0,1671.0,668.0,103.0
