juris_name,juris_id,zoned_du,total_residential_units,zoned_du_underbuild,zoned_du_underbuild_nodev
Alameda,00562,48858,32057,32105,8464
Alameda County,001,164442,52352,126225,18455
Albany,00674,7750,7693,3786,1475
American Canyon,01640,3854,5767,2613,83
Antioch,02252,78527,34866,66175,4303
Atherton,03092,1372,2519,197,30
Belmont,05108,10439,9097,5500,978
Belvedere,05164,868,1043,348,63
Benicia,05290,39291,11334,30922,3489
Berkeley,06000,43491,49178,14915,9102
Brentwood,08142,40353,18029,30121,5019
Brisbane,08310,2053,1897,854,236
Burlingame,09066,16527,12962,8083,1446
Calistoga,09892,5968,2346,4488,2682
Campbell,10345,15001,17012,8846,859
Clayton,13882,3490,4041,2235,72
Cloverdale,14190,4349,3595,2126,466
Colma,14736,674,856,322,111
Concord,16000,119556,47490,77824,13226
Contra Costa County,013,78808,60138,45401,4586
Corte Madera,16462,4563,3975,2979,286
Cotati,16560,8121,3173,6517,933
Cupertino,17610,25759,21623,15739,1426
Daly City,17918,29850,31360,8024,1165
Danville,17988,16301,16061,8281,341
Dixon,19402,13350,6185,9046,1132
Dublin,20018,19361,16014,12253,3450
East Palo Alto,20956,16607,7164,12395,3072
El Cerrito,21796,14290,10554,7779,1727
Emeryville,22594,26070,6035,22479,1097
Fairfax,23168,4698,3630,3203,534
Fairfield,23182,45537,36864,28283,2257
Foster City,25338,13903,12136,7479,110
Fremont,26000,62293,73780,23714,2319
Gilroy,29504,39331,14972,30462,5723
Half Moon Bay,31708,8146,4438,5845,3416
Hayward,33000,56603,48497,23114,4202
Healdsburg,33056,6825,4989,4316,717
Hercules,33308,16140,8840,10553,979
Hillsborough,33798,3994,3865,1279,100
Lafayette,39122,22893,9567,14801,1791
Lake County,033,22,1,21,0
Larkspur,40438,5089,6090,2379,361
Livermore,41992,32697,30215,24531,6124
Los Altos,43280,20676,10767,14661,1960
Los Altos Hills,43294,5,3076,4,0
Los Gatos,44112,28,12705,19,19
Marin County,041,36158,29833,20592,3017
Martinez,46114,22419,15150,12163,1575
Menlo Park,46870,14988,13193,7615,373
Mill Valley,47710,5075,6382,1895,646
Millbrae,47486,13326,8247,7689,804
Milpitas,47766,31422,19307,27578,729
Monte Sereno,48956,805,1282,172,58
Moraga,49187,3476,5789,1878,4
Morgan Hill,49278,16578,13449,12122,1595
Mountain View,49670,56958,32863,41312,3315
Napa,50258,68957,30764,60806,10505
Napa County,055,324607,11893,319681,24471
Newark,50916,5809,13414,2323,422
Novato,52582,78192,21441,70630,1694
Oakland,53000,421077,169504,295317,114425
Oakley,53070,12053,11504,9603,2346
Orinda,54232,7894,6729,3799,118
Pacifica,54806,19435,14518,9894,1166
Palo Alto,55282,50288,27269,33820,9602
Petaluma,56784,44482,23026,27039,4295
Piedmont,56938,3277,3807,1038,826
Pinole,57288,9336,7010,7233,610
Pittsburg,57456,29960,21311,17788,2904
Pleasant Hill,57764,21371,14793,10189,491
Pleasanton,57792,45288,25939,27731,2610
Portola Valley,58380,2481,1794,1665,1
Redwood City,60102,33842,29318,13978,4244
Richmond,60620,100309,40093,72598,13573
Rio Vista,60984,35171,4155,31766,3498
Rohnert Park,62546,27444,15435,20180,193
Ross,62980,1301,904,686,359
Sacramento County,067,0,0,0,0
San Anselmo,64434,4621,5479,2737,1001
San Benito County,069,0,0,0,0
San Bruno,65028,11866,14537,6879,481
San Carlos,65070,17683,11898,11737,876
San Francisco,67000,768214,376503,557407,253451
San Francisco County,075,0,0,0,0
San Joaquin County,077,0,0,0,0
San Jose,68000,1461137,310445,1207737,544094
San Leandro,68084,28367,32710,8566,2481
San Mateo,68252,70034,39640,39879,4954
San Mateo County,081,38362,26892,23301,4503
San Pablo,68294,17861,9392,10934,1593
San Rafael,68364,49567,23872,34953,4505
San Ramon,68378,48493,25597,32713,1481
Santa Clara,69084,45825,44054,22292,2900
Santa Clara County,085,64785,29339,52905,28454
Santa Cruz County,087,0,9,0,0
Santa Rosa,70098,107443,69187,61420,7450
Saratoga,70280,8214,11072,3395,447
Sausalito,70364,3065,4542,757,484
Sebastopol,70770,5991,3689,4020,789
Solano County,095,11344,6839,8439,247
Sonoma,72646,12986,5632,10419,1146
Sonoma County,097,30201,65744,24538,2433
South San Francisco,73262,22953,21562,11781,2969
St. Helena,64140,10591,2781,8281,3706
Stanislaus County,099,0,0,0,0
Suisun City,75630,10727,9690,2999,362
Sunnyvale,77000,59554,54697,33511,2933
Tiburon,78666,2572,4000,780,114
Union City,81204,15012,20843,7422,724
Vacaville,81554,28431,32872,20163,506
Vallejo,81666,63566,44312,35582,6008
Walnut Creek,83346,57040,33201,34437,2132
Windsor,85922,11181,9779,7659,608
Woodside,86440,1264,2131,419,37
Yolo County,113,0,0,0,0
Yountville,86930,1760,1258,1295,40
