juris_name,zoned_du,zoned_du_vacant,zoned_du_underbuild,zoned_du_underbuild_nodev
Alameda,106548,8151,71034,63709
Alameda County,400458,106956,335419,304564
Albany,9416,593,2497,1474
American Canyon,14498,4955,9264,8980
Antioch,99110,54228,67429,64030
Atherton,2523,66,199,169
Belmont,22138,2127,10224,7984
Belvedere,1296,26,262,200
Benicia,67176,23309,46090,42615
Berkeley,84716,4123,29048,16927
Brentwood,86075,41858,63375,47763
Brisbane,76216,48431,73929,73703
Burlingame,73191,7164,53213,30204
Calistoga,6568,1611,3350,1015
Campbell,29872,4739,15594,14045
Clayton,5000,984,1352,1260
Cloverdale,27321,10587,23099,17386
Colma,9715,1003,8396,8262
Concord,240621,22674,171984,156673
Contra Costa County,271473,122766,202974,191317
Corte Madera,5624,232,1005,822
Cotati,13174,3996,9383,7900
Cupertino,39742,5657,18171,16660
Daly City,82905,18770,49397,40689
Danville,30944,4387,13309,12051
Dixon,15277,4654,8283,6905
Dublin,23557,5415,11032,7619
East Palo Alto,38245,7652,28286,20737
El Cerrito,18894,2287,6197,4576
Emeryville,71423,16068,56254,51653
Fairfax,5680,145,2660,2125
Fairfield,79880,12345,47899,41092
Foster City,18624,1999,8229,8135
Fremont,482944,73678,381544,316474
Gilroy,73403,30949,56241,48693
Half Moon Bay,21654,15936,17466,16555
Hayward,120058,17094,66530,57227
Healdsburg,8990,1770,3539,2950
Hercules,35853,11454,26960,23709
Hillsborough,6319,392,1636,1488
Lafayette,36627,4341,21163,18280
Larkspur,6811,271,1592,1309
Livermore,306148,69900,265393,255614
Los Altos,25071,2349,9702,8148
Los Altos Hills,129,5,103,95
Los Gatos,156,20,87,18
Marin County,86426,13831,55033,49203
Martinez,30863,7113,12181,9033
Menlo Park,23469,2733,9129,8668
Mill Valley,7156,254,1306,855
Millbrae,13934,2084,4388,3689
Milpitas,70576,15767,50689,49989
Monte Sereno,1424,47,150,92
Moraga,17239,5737,12704,11922
Morgan Hill,31553,11053,20796,17807
Mountain View,174948,35417,136147,124304
Napa,72874,14408,34305,27484
Napa County,403597,272761,386316,361610
Newark,24895,9233,18537,17653
Novato,48064,6331,30657,29348
Oakland,1150024,105791,853983,546230
Oakley,50963,20525,40113,34460
Orinda,19414,2764,10485,9814
Pacifica,22046,3497,6525,5427
Palo Alto,58168,7062,27304,18423
Petaluma,48059,8147,20242,17127
Piedmont,5557,142,1297,271
Pinole,14037,2908,8161,7473
Pittsburg,75406,17695,47653,36886
Pleasant Hill,22321,3842,7101,6618
Pleasanton,54262,8299,17507,15112
Portola Valley,3284,432,1235,1220
Redwood City,155103,22167,114730,108143
Richmond,246236,39607,187793,147761
Rio Vista,27539,20954,22041,20530
Rohnert Park,51257,7890,34103,33929
Ross,1802,162,645,352
San Anselmo,6059,148,1865,1104
San Bruno,37301,4855,17215,15844
San Carlos,21058,2200,7374,6493
San Francisco,1549970,112022,935330,554759
San Jose,3350057,633381,2857716,2185258
San Leandro,104331,7579,67821,44929
San Mateo,110839,19067,60492,52727
San Mateo County,85808,19816,56981,36880
San Pablo,22913,4082,10757,9127
San Rafael,47939,8181,19594,16612
San Ramon,41753,10044,15755,14602
Santa Clara,93748,13291,52040,48233
Santa Clara County,287441,185757,259916,215677
Santa Rosa,348190,51475,247908,199561
Saratoga,12147,1359,2026,1525
Sausalito,4196,96,713,249
Sebastopol,24790,2519,18548,13802
Solano County,1403229,1255020,1392198,1382072
Sonoma,9723,1466,3771,3003
Sonoma County,505792,144672,441220,364914
South San Francisco,45927,7172,21208,15136
St. Helena,9557,1310,6222,3055
Suisun City,32406,3368,20769,14909
Sunnyvale,148640,21173,91653,83039
Tiburon,4066,138,632,538
Union City,38736,11348,22435,20836
Vacaville,67813,14014,39082,37131
Vallejo,65744,11857,23653,17351
Walnut Creek,58995,16440,26725,24654
Windsor,47110,12438,37490,31846
Woodside,3291,265,1403,1354
Yountville,1856,616,689,649
