juris_name,zoned_du,zoned_du_underbuild,zoned_du_underbuild_nodev
Alameda,62615,29239,22189
Alameda County,360852,296731,268007
Albany,9416,2497,1474
American Canyon,14498,9264,8980
Antioch,73748,42706,40403
Atherton,2523,199,169
Belmont,24358,12336,9475
Belvedere,1296,262,200
Benicia,28757,15050,11279
Berkeley,106920,50366,34103
Brentwood,86072,63375,47763
Brisbane,2799,1127,903
Burlingame,47268,28534,21527
Calistoga,6568,3350,1015
Campbell,29871,15594,14045
Clayton,5000,1352,1260
Cloverdale,16177,12034,10302
Colma,7849,6542,6408
Concord,338252,269443,253644
Contra Costa County,119258,97691,81565
Corte Madera,5624,1005,822
Cotati,9902,6151,5210
Cupertino,55369,33095,29784
Daly City,80083,46384,38651
Danville,35682,17854,16068
Dixon,16529,9480,7483
Dublin,169850,152269,147126
East Palo Alto,29295,19436,15275
El Cerrito,18894,6197,4576
Emeryville,97347,82030,74148
Fairfax,5680,2660,2125
Fairfield,82238,50040,42495
Foster City,18624,8229,8135
Fremont,278794,178420,136216
Gilroy,45097,29483,24907
Half Moon Bay,1771,861,860
Hayward,159410,105100,89486
Healdsburg,8389,2962,2373
Hercules,27751,18958,17579
Hillsborough,6319,1636,1488
Lafayette,26385,11706,9814
Larkspur,6811,1592,1309
Livermore,270739,230045,220842
Los Altos,25037,9667,8133
Los Altos Hills,129,103,95
Los Gatos,127,75,6
Marin County,76057,45072,40025
Martinez,30863,12181,9033
Menlo Park,24073,9713,9241
Mill Valley,7156,1306,855
Millbrae,19399,9271,8324
Milpitas,53534,33657,33014
Monte Sereno,1424,150,92
Moraga,8162,3715,3392
Morgan Hill,31542,20786,17797
Mountain View,250427,210444,197646
Napa,65037,26712,20533
Napa County,74086,66906,62458
Newark,18670,12313,11429
Novato,47982,30610,29302
Oakland,1142124,849057,496274
Oakley,50773,40387,28747
Orinda,18216,9329,8776
Pacifica,22046,6525,5427
Palo Alto,61534,30453,20983
Petaluma,49283,21220,17822
Piedmont,5557,1297,271
Pinole,12989,7278,6641
Pittsburg,93374,65580,50472
Pleasant Hill,25056,8090,7568
Pleasanton,126804,82413,79509
Portola Valley,3284,1235,1220
Redwood City,117905,81582,75170
Richmond,194083,136496,110557
Rio Vista,27532,22035,20524
Rohnert Park,54492,37252,37078
Ross,1802,645,352
San Anselmo,6059,1865,1104
San Bruno,52314,30851,23774
San Carlos,19970,6331,5487
San Francisco,2152883,1499606,803785
San Jose,2608302,2122412,1443772
San Leandro,117985,81496,53428
San Mateo,110905,60625,52697
San Mateo County,89078,60587,36183
San Pablo,21736,10064,8464
San Rafael,67819,36222,28295
San Ramon,54459,22549,21396
Santa Clara,148112,105955,100115
Santa Clara County,131193,110751,73172
Santa Rosa,217052,124281,109644
Saratoga,12145,2026,1525
Sausalito,4196,713,249
Sebastopol,12708,7218,5934
Solano County,76326,68901,67647
Sonoma,9681,3737,2969
Sonoma County,87056,45038,40548
South San Francisco,75969,50686,33160
St. Helena,9557,6222,3055
Suisun City,32406,20769,14909
Sunnyvale,348117,286219,261837
Tiburon,4066,632,538
Union City,22916,6763,6077
Vacaville,59021,30349,28435
Vallejo,84610,41226,33263
Walnut Creek,89055,47768,43744
Windsor,29713,20251,17591
Woodside,3291,1403,1354
Yountville,1856,689,649
