zone_id,ACRES,AGREMPN,AREA,CIACRE,DISTRICT,FSEMPN,GID,GQPOP,HEREMPN,HHINCQ1,HHINCQ2,HHINCQ3,HHINCQ4,HHLDS,HHPOP,MFDU,MWTEMPN,NEWDEVACRES,OTHEMPN,RESACRE,RESUNITS,RESVACANCY,RETEMPN,SD,SFDU,TOTEMP,TOTHH,TOTPOP,TRACT,ZERO,EMPRES,AGE0004,AGE0519,AGE2044,AGE4564,AGE65UP,AREATYPE,COLLFTE,COLLPTE,COUNTY,HSENROLL,OPRKCST,PRKCST,TERMINAL,TOPOLOGY
1,1.88300001621,15.0,82010.140625,8.3909752016,1,15780.0,1376,8,1116.0,31.0,12.0,7.0,5.0,55.0,100.0,60.0,899.0,11.2818080201,2623.0,2.54006108887,61.0,0.0983606557377,229.0,1,1.0,20662,55.0,91,,0.0,39,4.0,7.0,34.0,30.0,16.0,,,,,,,,,
2,2.88899993896,62.0,125828.75,11.2359864364,1,22932.0,1377,25,1905.0,92.0,31.0,19.0,8.0,150.0,269.0,147.0,948.0,16.5746816293,2930.0,3.84589397024,152.0,0.0131578947368,437.0,1,5.0,29214,150.0,243,,0.0,104,8.0,19.0,92.0,81.0,43.0,,,,,,,,,
3,1.36500000954,1.0,59472.8867188,5.42509801686,1,1018.0,1378,46,1297.0,166.0,57.0,49.0,20.0,292.0,490.0,285.0,45.0,7.82805886719,207.0,1.79219463656,294.0,0.00680272108844,112.0,1,9.0,2680,292.0,475,,0.0,205,16.0,38.0,178.0,159.0,84.0,,,,,,,,,
4,1.7879999876,148.0,77864.453125,5.11915391299,1,10386.0,1379,13,2537.0,122.0,39.0,21.0,17.0,199.0,400.0,210.0,1893.0,9.94173689099,2137.0,2.92244595288,216.0,0.0787037037037,426.0,1,6.0,17527,199.0,320,,0.0,137,10.0,26.0,121.0,106.0,57.0,,,,,,,,,
5,4.89699983597,4.0,213322.6875,13.9846754555,1,4150.0,1380,90,5685.0,414.0,128.0,80.0,49.0,671.0,1189.0,671.0,482.0,27.7032726088,1228.0,10.921042807,693.0,0.031746031746,2272.0,1,22.0,13821,671.0,1088,,0.0,462,37.0,87.0,408.0,364.0,192.0,,,,,,,,,
6,2.82999992371,4.0,123283.804688,5.72208771484,1,581.0,580,616,1963.0,1227.0,601.0,376.0,191.0,2395.0,3790.0,2406.0,41.0,10.8836080901,794.0,12.5485206927,2406.0,0.0045719035744,150.0,1,,3533,2395.0,3602,12100.0,0.0,1761,69.0,204.0,2118.0,849.0,362.0,,,,,,,,,
7,4.2389998436,,184633.921875,12.5221610673,1,5749.0,582,445,3978.0,2553.0,911.0,474.0,207.0,4145.0,6677.0,4174.0,109.0,17.2900846054,570.0,15.7452664395,4174.0,0.00694777192142,236.0,1,0.0,10642,4145.0,6233,12300.0,0.0,3326,178.0,437.0,2807.0,1958.0,853.0,,,,,,,,,
8,4.74100017548,7.0,206497.953125,7.16093550473,1,1349.0,584,2214,1726.0,3495.0,820.0,385.0,83.0,4783.0,8192.0,4808.0,62.0,13.3867634342,778.0,16.8523689235,4827.0,0.00911539258339,374.0,1,19.0,4296,4783.0,8033,12500.0,0.0,2721,315.0,710.0,2594.0,2921.0,1493.0,,,,,,,,,
9,10.4169998169,1.0,453762.90625,18.0093470128,1,3020.0,583,640,6290.0,3371.0,1186.0,620.0,217.0,5394.0,9755.0,5416.0,171.0,42.3509143063,13705.0,22.1530991829,5451.0,0.010456796918,111.0,1,35.0,23298,5394.0,9395,12400.0,0.0,4157,381.0,952.0,4524.0,2437.0,1101.0,,,,,,,,,
10,6.82800006866,4.0,297428.96875,19.010951084,1,1735.0,1381,97,3446.0,1400.0,521.0,255.0,236.0,2412.0,4673.0,2501.0,230.0,29.2343649248,5201.0,16.1617480522,2506.0,0.0375099760575,147.0,1,5.0,10763,2412.0,4226,,0.0,2191,120.0,372.0,1854.0,1477.0,403.0,,,,,,,,,
11,7.52199983597,4.0,327650.84375,19.8780532224,1,1503.0,1382,156,3636.0,1530.0,546.0,380.0,301.0,2757.0,4873.0,2780.0,265.0,37.7481187063,3008.0,14.2651163923,2790.0,0.0118279569892,2388.0,1,10.0,10804,2757.0,4830,,0.0,2509,137.0,425.0,2119.0,1689.0,460.0,,,,,,,,,
12,4.94600009918,15.0,215439.328125,15.4621371185,1,3452.0,1383,9,4259.0,534.0,155.0,70.0,132.0,891.0,1874.0,984.0,374.0,32.6501991347,4630.0,7.59070568848,984.0,0.094512195122,541.0,1,,13271,891.0,1368,,0.0,927,12.0,16.0,814.0,463.0,63.0,,,,,,,,,
13,2.45700001717,15.0,107011.65625,8.94551388526,1,10659.0,1384,9,2752.0,1.0,1.0,2.0,4.0,8.0,14.0,8.0,209.0,14.3176897151,1274.0,2.15097801455,8.0,0.0,831.0,1,,15740,8.0,12,,0.0,8,0.0,0.0,7.0,4.0,1.0,,,,,,,,,
14,2.83800005913,19.0,123610.179688,8.32298261952,1,13886.0,1385,6,1774.0,161.0,74.0,38.0,110.0,383.0,821.0,422.0,3551.0,16.8299462932,4602.0,2.17097505569,422.0,0.0924170616114,224.0,1,,24056,383.0,591,,0.0,389,7.0,7.0,351.0,200.0,26.0,,,,,,,,,
15,2.64400005341,8.0,115178.828125,9.02505993178,1,7505.0,1386,45,1976.0,85.0,57.0,52.0,118.0,312.0,497.0,319.0,716.0,11.8602918243,2795.0,4.90677927723,319.0,0.0219435736677,153.0,1,,13153,312.0,480,,0.0,309,4.0,6.0,285.0,163.0,22.0,,,,,,,,,
16,11.4519996643,99.0,498831.59375,21.2296752687,1,6454.0,1387,122,5027.0,787.0,354.0,245.0,862.0,2248.0,4517.0,2377.0,467.0,44.8829658989,4466.0,22.4332492939,2392.0,0.0602006688963,3295.0,1,15.0,19808,2248.0,3763,,0.0,2601,79.0,101.0,2455.0,976.0,152.0,,,,,,,,,
17,14.1370000839,10.0,615799.1875,24.217065257,1,2723.0,1388,394,1465.0,878.0,574.0,639.0,1983.0,4074.0,7189.0,4105.0,229.0,44.1261285393,4767.0,40.0527552425,4130.0,0.0135593220339,296.0,1,25.0,9490,4074.0,6817,,0.0,4613,143.0,184.0,4447.0,1769.0,274.0,,,,,,,,,
18,9.95800018311,29.0,433781.15625,32.2369408917,1,1660.0,1389,344,1041.0,458.0,156.0,90.0,317.0,1021.0,2223.0,1068.0,522.0,49.1980757438,2799.0,20.9013644384,1124.0,0.0916370106762,309.0,1,56.0,6360,1021.0,1713,,0.0,967,29.0,113.0,1158.0,367.0,46.0,,,,,,,,,
19,11.6400003433,2.0,507052.78125,34.8192355912,1,1872.0,1390,1429,1015.0,93.0,70.0,59.0,239.0,461.0,806.0,449.0,1112.0,69.9586496376,4617.0,16.870851353,471.0,0.0212314225053,955.0,1,22.0,9573,461.0,772,,0.0,409,12.0,51.0,522.0,166.0,21.0,,,,,,,,,
20,9.125,6.0,397494.9375,29.4182280492,1,733.0,1391,326,1256.0,967.0,272.0,242.0,255.0,1736.0,2955.0,1664.0,538.0,46.9513013318,1081.0,26.6642888792,1761.0,0.0141964792731,259.0,1,97.0,3873,1736.0,2946,,0.0,1230,65.0,168.0,1011.0,725.0,977.0,,,,,,,,,
21,7.32000017166,4.0,318878.6875,13.829633555,1,1661.0,1392,388,1512.0,1711.0,501.0,370.0,434.0,3016.0,5516.0,3026.0,199.0,33.2223311804,2363.0,21.1446799117,3143.0,0.0404072542157,380.0,1,117.0,6119,3016.0,5120,,0.0,2131,113.0,291.0,1757.0,1261.0,1698.0,,,,,,,,,
22,8.13799953461,3.0,354506.75,9.7512111449,1,10012.0,1393,18,2912.0,348.0,234.0,247.0,528.0,1357.0,2378.0,1291.0,508.0,23.7168253192,1095.0,16.6162143641,1389.0,0.0230381569474,324.0,1,98.0,14854,1357.0,2202,,0.0,1173,34.0,46.0,612.0,981.0,529.0,,,,,,,,,
23,8.43400001526,1.0,367363.40625,36.2708283925,1,3977.0,1394,6,1392.0,162.0,96.0,95.0,216.0,569.0,1011.0,553.0,1856.0,46.5939675692,1852.0,9.80014278705,596.0,0.0453020134228,239.0,1,43.0,9317,569.0,923,,0.0,492,14.0,20.0,256.0,411.0,222.0,,,,,,,,,
24,3.66000008583,20.0,159421.4375,10.1731179995,1,7472.0,576,7,1734.0,457.0,122.0,54.0,24.0,657.0,1091.0,668.0,763.0,19.3975125586,3532.0,9.14630259319,668.0,0.0164670658683,196.0,1,,13717,657.0,1076,11500.0,0.0,365,35.0,52.0,239.0,435.0,315.0,,,,,,,,,
25,1.97200000286,,85913.7421875,2.38637942838,1,294.0,575,6,599.0,1116.0,331.0,150.0,52.0,1649.0,3567.0,1553.0,112.0,5.86333347483,255.0,11.0563241036,1683.0,0.020202020202,310.0,1,130.0,1570,1649.0,3688,11400.0,0.0,1249,129.0,471.0,737.0,1088.0,1263.0,,,,,,,,,
26,1.26800000668,1.0,55254.734375,2.09942953745,1,1972.0,577,13,609.0,455.0,175.0,106.0,49.0,785.0,1664.0,793.0,125.0,5.57758463048,230.0,5.49789568607,800.0,0.01875,140.0,1,7.0,3077,785.0,1723,11800.0,0.0,688,56.0,193.0,460.0,526.0,488.0,,,,,,,,,
27,2.39400005341,,104269.234375,3.51609343295,1,104.0,574,0,737.0,892.0,368.0,188.0,207.0,1655.0,3397.0,1540.0,38.0,7.05452620638,365.0,11.4440215327,1675.0,0.0119402985075,128.0,1,68.0,1372,1655.0,3493,11300.0,0.0,1526,114.0,395.0,897.0,1031.0,1056.0,,,,,,,,,
