,combination_factor,juris_households,juris_jobs,pda_fill_juris_households,pda_fill_juris_jobs,quantile,runnum
0,0.0,0.181546205443,0.281468421701,0.733046771064,0.686333542217,0.95,1532
1,0.05,0.177200376331,0.297702279301,0.755771592903,0.677726286627,0.95,1533
2,0.1,0.186076452736,0.266666718609,0.742043188559,0.683364782611,0.95,1534
3,0.15,0.176539766696,0.267817530696,0.863495820818,0.682955616707,0.95,1535
4,0.2,0.211603967846,0.296971005465,0.865389841611,0.686031210196,0.95,1536
5,0.25,0.217357231872,0.278043412988,0.80402573766,0.694149075717,0.95,1537
6,0.3,0.17404718698,0.28070892378,0.826586396305,0.690521589918,0.95,1538
7,0.35,0.195358992503,0.304946073447,0.861559644342,0.683295265376,0.95,1539
8,0.4,0.174404736154,0.284252837493,0.821002949405,0.677839958586,0.95,1540
9,0.45,0.2191430015,0.283714333777,0.817736747786,0.677154524612,0.95,1541
10,0.5,0.203402561781,0.269184539219,0.854120057901,0.688570838614,0.95,1542
11,0.55,0.236836500213,0.26831210311,0.858107471939,0.679424025284,0.95,1543
12,0.6,0.184267838659,0.295575304026,0.782366172719,0.683792605509,0.95,1544
13,0.65,0.252155857565,0.265974687871,0.79144620098,0.698272280212,0.95,1545
14,0.7,0.206590399048,0.272951771035,0.846404507591,0.681761219067,0.95,1546
15,0.75,0.195356444641,0.269946423846,0.804458713529,0.676370868866,0.95,1547
16,0.8,0.217852461851,0.281642590431,0.885099174153,0.657331173291,0.95,1548
17,0.85,0.228126558798,0.275017012619,0.816174901265,0.691521309796,0.95,1549
18,0.9,0.197741902409,0.282548754817,0.86183808626,0.682918698744,0.95,1550
19,0.95,0.185754530357,0.282019423593,0.826577603414,0.714756733174,0.95,1551
